,gene_id
chr1-1678681-1679416,ENSG00000189339
chr1-1686015-1686886,ENSG00000189339
chr1-1692421-1693338,ENSG00000189339
chr1-1694436-1695286,ENSG00000189339
chr1-1703763-1704516,ENSG00000008128
chr1-1706190-1707024,ENSG00000008128
chr1-1715005-1715807,ENSG00000008128
chr1-1720871-1721715,ENSG00000008128
chr1-1723984-1724895,ENSG00000215790
chr1-1726033-1726882,ENSG00000215790
chr1-1728320-1729194,ENSG00000215790
chr1-1732204-1733097,ENSG00000215790
chr1-1745924-1746746,ENSG00000215790
chr1-1752830-1753728,ENSG00000008130
chr1-1758574-1759450,ENSG00000008130
chr1-1763976-1764867,ENSG00000008130
chr1-1775305-1776227,ENSG00000008130
chr1-1778345-1779150,ENSG00000008130
chr1-1780023-1780937,ENSG00000008130
chr1-1782431-1783363,ENSG00000008130
chr1-1796226-1797117,ENSG00000078369
chr1-1797740-1798599,ENSG00000078369
chr1-1833708-1834510,ENSG00000078369
chr1-1840025-1840870,ENSG00000078369
chr1-1841341-1842271,ENSG00000078369
chr1-1842542-1843462,ENSG00000078369
chr1-1846672-1847343,ENSG00000078369
chr1-1847674-1848470,ENSG00000078369
chr1-1849030-1849866,ENSG00000078369
chr1-1856926-1857817,ENSG00000078369
chr1-1858418-1859286,ENSG00000078369
chr1-1860680-1861564,ENSG00000078369
chr1-1864406-1865263,ENSG00000078369
chr1-1869250-1870159,ENSG00000078369
chr1-1883163-1883979,ENSG00000078369
chr1-1889789-1890435,ENSG00000078369
chr1-1890808-1891672,ENSG00000078369
chr1-2049874-2050776,ENSG00000067606
chr1-2055649-2056533,ENSG00000067606
chr1-2091379-2092261,ENSG00000067606
chr1-2100213-2101085,ENSG00000067606
chr1-2112146-2113074,ENSG00000067606
chr1-2114993-2115779,ENSG00000067606
chr1-2118327-2119191,ENSG00000067606
chr1-2121125-2121987,ENSG00000067606
chr1-2124221-2125159,ENSG00000067606
chr1-2126835-2127720,ENSG00000067606
chr1-2132975-2133894,ENSG00000067606
chr1-2139540-2140460,ENSG00000067606
chr1-2142518-2143420,ENSG00000067606
chr1-2146092-2147041,ENSG00000067606
chr1-2148465-2149350,ENSG00000067606
chr1-2150834-2151773,ENSG00000067606
chr1-2152812-2153628,ENSG00000067606
chr1-2160444-2161155,ENSG00000067606
chr1-2162852-2163666,ENSG00000067606
chr1-2174036-2174927,ENSG00000067606
chr1-2189198-2190083,ENSG00000162585
chr1-2194590-2195408,ENSG00000162585
chr1-2198908-2199822,ENSG00000162585
chr1-2204723-2205645,ENSG00000162585
chr1-2212334-2213253,ENSG00000162585
chr1-2227387-2228298,ENSG00000157933
chr1-2228972-2229732,ENSG00000157933
chr1-2230892-2231551,ENSG00000157933
chr1-2231676-2232371,ENSG00000157933
chr1-2234159-2235036,ENSG00000157933
chr1-2237113-2237875,ENSG00000157933
chr1-2240089-2240925,ENSG00000157933
chr1-2246288-2247008,ENSG00000157933
chr1-2255371-2256332,ENSG00000157933
chr1-2258748-2259569,ENSG00000157933
chr1-2260012-2260748,ENSG00000157933
chr1-2265818-2266746,ENSG00000157933
chr1-2275763-2276571,ENSG00000157933
chr1-2279042-2279857,ENSG00000157933
chr1-2290373-2291244,ENSG00000157933
chr1-2300750-2301561,ENSG00000157933
chr1-2304856-2305777,ENSG00000157933
chr1-2345325-2346081,ENSG00000116151
chr1-2381500-2382379,ENSG00000116151
chr1-2391241-2392162,ENSG00000116151
chr1-2399636-2400477,ENSG00000157916
chr1-2412192-2413108,ENSG00000157911
chr1-2414109-2415017,ENSG00000157911
chr1-2415741-2416310,ENSG00000157911
chr1-2436657-2437445,ENSG00000149527
chr1-2443503-2444377,ENSG00000149527
chr1-2466994-2467773,ENSG00000149527
chr1-2467912-2468633,ENSG00000149527
chr1-2493576-2494430,ENSG00000149527
chr1-2495981-2496680,ENSG00000149527
chr1-2499703-2500562,ENSG00000149527
chr1-2523572-2524444,ENSG00000157881
chr1-2525977-2526854,ENSG00000157881
chr1-2528977-2529864,ENSG00000272449
chr1-2530775-2531486,ENSG00000272449
chr1-2539130-2539963,ENSG00000272449
chr1-2543344-2544082,ENSG00000272449
chr1-2545863-2546711,ENSG00000272449
chr1-2555574-2556093,ENSG00000157873
chr1-2556204-2556840,ENSG00000157873
chr1-2585123-2585829,ENSG00000157870
chr1-2586220-2587081,ENSG00000157870
chr1-2642743-2643557,ENSG00000215912
chr1-2655591-2656461,ENSG00000215912
chr1-2786363-2787248,ENSG00000215912
chr1-2788833-2789660,ENSG00000215912
chr1-2801345-2802230,ENSG00000215912
chr1-3490986-3491877,ENSG00000162591
chr1-3515903-3516769,ENSG00000162591
chr1-3531008-3531870,ENSG00000162591
chr1-3538134-3539062,ENSG00000162591
chr1-3564973-3565866,ENSG00000162591
chr1-3597229-3598092,ENSG00000162591
chr1-3610054-3610853,ENSG00000162591
chr1-3611156-3612033,ENSG00000162591
chr1-3624444-3625345,ENSG00000158109
chr1-3629901-3630729,ENSG00000158109
chr1-3649628-3650517,ENSG00000116213
chr1-3652166-3653026,ENSG00000116213
chr1-3772101-3772995,ENSG00000235169
chr1-3775617-3776517,ENSG00000235169
chr1-3787206-3788082,ENSG00000130764
chr1-3793317-3794239,ENSG00000130764
chr1-3796059-3796946,ENSG00000130764
chr1-3842736-3843638,ENSG00000116198
chr1-3856844-3857752,ENSG00000169598
chr1-3869500-3870429,ENSG00000169598
chr1-3880787-3881643,ENSG00000169598
chr1-3883224-3884149,ENSG00000169598
chr1-3889646-3890352,ENSG00000198912
chr1-3890762-3891653,ENSG00000198912
chr1-3900177-3901072,ENSG00000198912
chr1-5915667-5916538,ENSG00000131697
chr1-5954774-5955621,ENSG00000131697
chr1-5966659-5967562,ENSG00000131697
chr1-5975036-5975857,ENSG00000131697
chr1-5980217-5981104,ENSG00000131697
chr1-5992054-5992913,ENSG00000069424
chr1-6002817-6003527,ENSG00000069424
chr1-6006855-6007682,ENSG00000069424
chr1-6012737-6013587,ENSG00000069424
chr1-6014487-6015314,ENSG00000069424
chr1-6025833-6026719,ENSG00000069424
chr1-6027947-6028848,ENSG00000069424
chr1-6034151-6035033,ENSG00000069424
chr1-6037067-6037872,ENSG00000069424
chr1-6041168-6042047,ENSG00000069424
chr1-6052274-6053095,ENSG00000069424
chr1-6056166-6057033,ENSG00000069424
chr1-6058397-6059290,ENSG00000069424
chr1-6199192-6200082,ENSG00000116251
chr1-6204954-6205674,ENSG00000116251
chr1-6205800-6206596,ENSG00000116251
chr1-6208884-6209678,ENSG00000116251
chr1-6235525-6236423,ENSG00000116237
chr1-6259694-6260599,ENSG00000158292
chr1-6260929-6261642,ENSG00000158292
chr1-6288237-6289162,ENSG00000097021
chr1-6293879-6294435,ENSG00000097021
chr1-6294556-6295304,ENSG00000097021
chr1-6341796-6342539,ENSG00000097021
chr1-6343165-6344076,ENSG00000097021
chr1-6348049-6348508,ENSG00000097021
chr1-6358504-6359275,ENSG00000097021
chr1-6359489-6360335,ENSG00000097021
chr1-6362820-6363728,ENSG00000097021
chr1-6364820-6365727,ENSG00000097021
chr1-6374010-6374917,ENSG00000097021
chr1-6378026-6378912,ENSG00000097021
chr1-6393155-6394039,ENSG00000097021
chr1-6423202-6424068,ENSG00000187017
chr1-6424565-6425396,ENSG00000187017
chr1-6429514-6430409,ENSG00000187017
chr1-6432079-6432925,ENSG00000187017
chr1-6437789-6438683,ENSG00000187017
chr1-6440097-6440987,ENSG00000187017
chr1-6444848-6445770,ENSG00000187017
chr1-6446673-6447433,ENSG00000187017
chr1-6449718-6450626,ENSG00000187017
chr1-6454777-6455658,ENSG00000187017
chr1-6460071-6460918,ENSG00000187017
chr1-6465713-6466504,ENSG00000215788
chr1-6545304-6546189,ENSG00000162408
chr1-6554075-6554956,ENSG00000162408
chr1-6579514-6580400,ENSG00000204859
chr1-6581738-6582573,ENSG00000204859
chr1-6590966-6591857,ENSG00000162413
chr1-6599418-6600192,ENSG00000162413
chr1-6600766-6601687,ENSG00000162413
chr1-6602553-6603398,ENSG00000162413
chr1-6613110-6613975,ENSG00000162413
chr1-6624764-6625638,ENSG00000041988
chr1-6634356-6635268,ENSG00000007923
chr1-6646212-6647102,ENSG00000007923
chr1-6666505-6667367,ENSG00000007923
chr1-6672308-6673209,ENSG00000007923
chr1-6701444-6702336,ENSG00000007923
chr1-6784772-6785572,ENSG00000171735
chr1-6804953-6805664,ENSG00000171735
chr1-6889725-6890560,ENSG00000171735
chr1-6962217-6963029,ENSG00000171735
chr1-6963167-6963732,ENSG00000171735
chr1-6968830-6969692,ENSG00000171735
chr1-7070149-7071045,ENSG00000171735
chr1-7107987-7108865,ENSG00000171735
chr1-7207637-7208520,ENSG00000171735
chr1-7549075-7549922,ENSG00000171735
chr1-7646959-7647829,ENSG00000171735
chr1-7648725-7649629,ENSG00000171735
chr1-7667286-7668184,ENSG00000171735
chr1-7669238-7670119,ENSG00000171735
chr1-7680088-7680960,ENSG00000171735
chr1-7698449-7699197,ENSG00000171735
chr1-7704201-7705104,ENSG00000171735
chr1-7728566-7729420,ENSG00000171735
chr1-7752609-7753471,ENSG00000171735
chr1-7770849-7771751,ENSG00000049245
chr1-7781662-7782380,ENSG00000049246
chr1-7783623-7784536,ENSG00000049246
chr1-7786504-7787408,ENSG00000049246
chr1-7807969-7808853,ENSG00000049246
chr1-7826941-7827842,ENSG00000049246
chr1-7831200-7832089,ENSG00000049246
chr1-7842294-7843167,ENSG00000049246
chr1-7915596-7916487,ENSG00000049249
chr1-7926809-7927708,ENSG00000049249
chr1-7929413-7930189,ENSG00000049249
chr1-7930720-7931665,ENSG00000049249
chr1-7940462-7941380,ENSG00000049249
chr1-7942122-7942998,ENSG00000049249
chr1-7944888-7945841,ENSG00000049249
chr1-7953740-7954673,ENSG00000116288
chr1-7961146-7962055,ENSG00000116288
chr1-7970033-7970887,ENSG00000116288
chr1-7974988-7975882,ENSG00000116288
chr1-7982030-7982930,ENSG00000116288
chr1-8004717-8005621,ENSG00000116285
chr1-8014726-8015614,ENSG00000116285
chr1-8019817-8020697,ENSG00000116285
chr1-8025904-8026803,ENSG00000116285
chr1-8374447-8375227,ENSG00000142599
chr1-8382706-8383582,ENSG00000142599
chr1-8387768-8388632,ENSG00000142599
chr1-8395181-8396072,ENSG00000142599
chr1-8396920-8397664,ENSG00000142599
chr1-8408896-8409792,ENSG00000142599
chr1-8423477-8424274,ENSG00000142599
chr1-8427303-8428177,ENSG00000142599
chr1-8429344-8430109,ENSG00000142599
chr1-8430703-8431546,ENSG00000142599
chr1-8438669-8439576,ENSG00000142599
chr1-8443428-8444333,ENSG00000142599
chr1-8457521-8458388,ENSG00000142599
chr1-8463056-8463812,ENSG00000142599
chr1-8472412-8473223,ENSG00000142599
chr1-8473396-8474201,ENSG00000142599
chr1-8475783-8476649,ENSG00000142599
chr1-8496040-8496954,ENSG00000142599
chr1-8497316-8498141,ENSG00000142599
chr1-8509856-8510782,ENSG00000142599
chr1-8511411-8512202,ENSG00000142599
chr1-8516655-8517451,ENSG00000142599
chr1-8517688-8518503,ENSG00000142599
chr1-8520369-8521274,ENSG00000142599
chr1-8523408-8524220,ENSG00000142599
chr1-8525554-8526422,ENSG00000142599
chr1-8527479-8528397,ENSG00000142599
chr1-8532810-8533666,ENSG00000142599
chr1-8541917-8542807,ENSG00000142599
chr1-8560794-8561675,ENSG00000142599
chr1-8562198-8562861,ENSG00000142599
chr1-8563208-8564025,ENSG00000142599
chr1-8602368-8603236,ENSG00000142599
chr1-8603903-8604792,ENSG00000142599
chr1-8623398-8624297,ENSG00000142599
chr1-8625216-8626086,ENSG00000142599
chr1-8629425-8630270,ENSG00000142599
chr1-8633641-8634494,ENSG00000142599
chr1-8643258-8644159,ENSG00000142599
chr1-8647359-8648267,ENSG00000142599
chr1-8650888-8651790,ENSG00000142599
chr1-8660206-8661079,ENSG00000142599
chr1-8663773-8664687,ENSG00000142599
chr1-8666540-8667314,ENSG00000142599
chr1-8671003-8671851,ENSG00000142599
chr1-8674255-8675102,ENSG00000142599
chr1-8679006-8679828,ENSG00000142599
chr1-8686918-8687803,ENSG00000142599
chr1-8689524-8690326,ENSG00000142599
chr1-8700962-8701882,ENSG00000142599
chr1-8702940-8703845,ENSG00000142599
chr1-8704769-8705620,ENSG00000142599
chr1-8712476-8713364,ENSG00000142599
chr1-8726248-8727168,ENSG00000142599
chr1-8746414-8747308,ENSG00000142599
chr1-8789045-8789924,ENSG00000142599
chr1-8790723-8791548,ENSG00000142599
chr1-8811151-8812063,ENSG00000142599
chr1-8814710-8815341,ENSG00000142599
chr1-8817313-8818229,ENSG00000142599
chr1-8822401-8823288,ENSG00000142599
chr1-8825754-8826627,ENSG00000142599
chr1-8829255-8830161,ENSG00000142599
chr1-8830889-8831832,ENSG00000142599
chr1-8847403-8848076,ENSG00000142599
chr1-8848631-8849519,ENSG00000142599
chr1-8862279-8863148,ENSG00000074800
chr1-8870918-8871762,ENSG00000074800
chr1-8873351-8874247,ENSG00000074800
chr1-8875156-8875948,ENSG00000074800
chr1-8878450-8879309,ENSG00000074800
chr1-9037274-9038125,ENSG00000142583
chr1-9066940-9067851,ENSG00000142583
chr1-9069277-9070174,ENSG00000142583
chr1-9074716-9075568,ENSG00000142583
chr1-9076032-9076837,ENSG00000142583
chr1-9077895-9078569,ENSG00000142583
chr1-9078694-9079443,ENSG00000142583
chr1-9082970-9083806,ENSG00000142583
chr1-9084716-9085517,ENSG00000142583
chr1-9101274-9102151,ENSG00000180758
chr1-9110505-9111413,ENSG00000180758
chr1-9119593-9120235,ENSG00000180758
chr1-9121779-9122633,ENSG00000180758
chr1-9128829-9129761,ENSG00000180758
chr1-9232918-9233594,ENSG00000049239
chr1-9234332-9235266,ENSG00000049239
chr1-9238131-9238867,ENSG00000049239
chr1-9239465-9240361,ENSG00000049239
chr1-9244449-9245274,ENSG00000049239
chr1-9249737-9250599,ENSG00000049239
chr1-9257491-9258371,ENSG00000049239
chr1-9259989-9260860,ENSG00000049239
chr1-9266807-9267713,ENSG00000049239
chr1-9292488-9293317,ENSG00000171621
chr1-9294775-9295644,ENSG00000171621
chr1-9300157-9301046,ENSG00000171621
chr1-9315107-9315739,ENSG00000171621
chr1-9315865-9316449,ENSG00000171621
chr1-9332470-9333414,ENSG00000171621
chr1-9340607-9341490,ENSG00000171621
chr1-9362352-9363219,ENSG00000171621
chr1-9539006-9539837,ENSG00000171612
chr1-9546410-9547301,ENSG00000171612
chr1-9559493-9560357,ENSG00000171612
chr1-9561164-9562083,ENSG00000171612
chr1-9568674-9569548,ENSG00000171612
chr1-9573452-9574344,ENSG00000171612
chr1-9579111-9579961,ENSG00000171612
chr1-9588282-9589150,ENSG00000188807
chr1-9591121-9592056,ENSG00000188807
chr1-9593212-9594096,ENSG00000188807
chr1-9613096-9614016,ENSG00000188807
chr1-9652088-9652781,ENSG00000171608
chr1-9655034-9655850,ENSG00000171608
chr1-9657679-9658362,ENSG00000171608
chr1-9669811-9670713,ENSG00000171608
chr1-9676402-9677275,ENSG00000231789
chr1-9680719-9681562,ENSG00000171608
chr1-9687095-9688024,ENSG00000171608
chr1-9689040-9689947,ENSG00000171608
chr1-9701935-9702802,ENSG00000171608
chr1-9704432-9705299,ENSG00000171608
chr1-9711370-9712260,ENSG00000171608
chr1-9717308-9718198,ENSG00000171608
chr1-9718919-9719729,ENSG00000171608
chr1-9721480-9722393,ENSG00000171608
chr1-9724719-9725571,ENSG00000171608
chr1-9728371-9729283,ENSG00000171608
chr1-9730300-9731200,ENSG00000171603
chr1-9737942-9738840,ENSG00000171603
chr1-9744012-9744877,ENSG00000171603
chr1-9763236-9764150,ENSG00000171603
chr1-9767965-9768846,ENSG00000171603
chr1-9784266-9785168,ENSG00000171603
chr1-9787395-9788270,ENSG00000171603
chr1-9799941-9800879,ENSG00000171603
chr1-9808783-9809695,ENSG00000171603
chr1-9823629-9824537,ENSG00000171603
chr1-9825353-9826179,ENSG00000171603
chr1-9849942-9850803,ENSG00000178585
chr1-9867197-9868110,ENSG00000178585
chr1-9874614-9875521,ENSG00000178585
chr1-9881996-9882795,ENSG00000178585
chr1-9884233-9885123,ENSG00000178585
chr1-9890053-9890889,ENSG00000178585
chr1-9892915-9893726,ENSG00000178585
chr1-9894279-9894908,ENSG00000178585
chr1-9900157-9901061,ENSG00000178585
chr1-9910003-9910914,ENSG00000178585
chr1-9942933-9943807,ENSG00000173614
chr1-9950233-9950925,ENSG00000173614
chr1-9960865-9961670,ENSG00000173614
chr1-9996890-9997549,ENSG00000162444
chr1-9997661-9998062,ENSG00000162444
chr1-10032411-10033292,ENSG00000130939
chr1-10045656-10046452,ENSG00000130939
chr1-10055547-10056428,ENSG00000130939
chr1-10066697-10067594,ENSG00000130939
chr1-10074096-10074945,ENSG00000130939
chr1-10075142-10075915,ENSG00000130939
chr1-10147830-10148725,ENSG00000130939
chr1-10152650-10153559,ENSG00000130939
chr1-10169860-10170642,ENSG00000130939
chr1-10173348-10174232,ENSG00000130939
chr1-10208307-10209126,ENSG00000054523
chr1-10210009-10210911,ENSG00000054523
chr1-10215987-10216830,ENSG00000054523
chr1-10242577-10243447,ENSG00000054523
chr1-10251481-10252370,ENSG00000054523
chr1-10253441-10254310,ENSG00000054523
chr1-10307650-10308559,ENSG00000054523
chr1-10309250-10310054,ENSG00000054523
chr1-10324444-10325306,ENSG00000054523
chr1-10337781-10338643,ENSG00000054523
chr1-10377112-10377934,ENSG00000054523
chr1-10378304-10379096,ENSG00000054523
chr1-10398494-10399383,ENSG00000142657
chr1-10400372-10401167,ENSG00000142657
chr1-10414970-10415871,ENSG00000142657
chr1-10458872-10459783,ENSG00000160049
chr1-10472105-10472986,ENSG00000142655
chr1-10474552-10475413,ENSG00000142655
chr1-10484278-10485179,ENSG00000142655
chr1-10494736-10495521,ENSG00000142655
chr1-10498063-10498862,ENSG00000142655
chr1-10507129-10508045,ENSG00000142655
chr1-10510665-10511559,ENSG00000142655
chr1-10514033-10514959,ENSG00000142655
chr1-10515473-10516299,ENSG00000142655
chr1-10522013-10522805,ENSG00000142655
chr1-10524921-10525837,ENSG00000142655
chr1-10530052-10530931,ENSG00000142655
chr1-10543985-10544835,ENSG00000142655
chr1-10552961-10553894,ENSG00000142655
chr1-10638350-10639217,ENSG00000130940
chr1-10679375-10680228,ENSG00000130940
chr1-10692072-10692869,ENSG00000130940
chr1-10694320-10695221,ENSG00000130940
chr1-10698609-10699558,ENSG00000130940
chr1-10716146-10717036,ENSG00000130940
chr1-10717269-10718038,ENSG00000130940
chr1-10755645-10756555,ENSG00000130940
chr1-10793584-10794418,ENSG00000130940
chr1-10796071-10796959,ENSG00000130940
chr1-11012133-11012931,ENSG00000120948
chr1-11059664-11060562,ENSG00000116649
chr1-11099381-11100245,ENSG00000171824
chr1-11227080-11227938,ENSG00000198793
chr1-11241451-11242358,ENSG00000198793
chr1-11245957-11246847,ENSG00000198793
chr1-11262220-11263118,ENSG00000198793
chr1-11272763-11273652,ENSG00000120942
chr1-11280725-11281605,ENSG00000120942
chr1-11654397-11655274,ENSG00000132879
chr1-11663906-11664714,ENSG00000116663
chr1-11670381-11671235,ENSG00000116663
chr1-11680801-11681710,ENSG00000116670
chr1-11691074-11691966,ENSG00000162490
chr1-11692817-11693743,ENSG00000162490
chr1-11697004-11697823,ENSG00000162490
chr1-11703533-11704469,ENSG00000162490
chr1-11707408-11708332,ENSG00000162490
chr1-11710898-11711753,ENSG00000162490
chr1-11719206-11720155,ENSG00000162490
chr1-11725303-11726191,ENSG00000162490
chr1-11735674-11736465,ENSG00000177674
chr1-11736598-11737399,ENSG00000177674
chr1-11738483-11739318,ENSG00000177674
chr1-11740464-11741338,ENSG00000177674
chr1-11748863-11749720,ENSG00000177674
chr1-11754522-11755365,ENSG00000177674
chr1-11790592-11791505,ENSG00000177000
chr1-11792047-11792693,ENSG00000177000
chr1-11797619-11798303,ENSG00000177000
chr1-11798415-11798827,ENSG00000177000
chr1-11803147-11803996,ENSG00000177000
chr1-11805657-11806570,ENSG00000177000
chr1-11814662-11815597,ENSG00000011021
chr1-11838362-11839219,ENSG00000011021
chr1-11840976-11841718,ENSG00000011021
chr1-11842166-11843064,ENSG00000011021
chr1-11845438-11846330,ENSG00000011021
chr1-11905328-11906237,ENSG00000285646
chr1-11907701-11908536,ENSG00000285646
chr1-11909400-11910288,ENSG00000285646
chr1-11926005-11926901,ENSG00000116685
chr1-11934223-11935137,ENSG00000083444
chr1-11952477-11953184,ENSG00000083444
chr1-11960570-11961402,ENSG00000083444
chr1-11966788-11967632,ENSG00000083444
chr1-11972852-11973728,ENSG00000083444
chr1-11979837-11980755,ENSG00000116688
chr1-11985620-11986531,ENSG00000116688
chr1-11995693-11996545,ENSG00000116688
chr1-11997140-11998044,ENSG00000116688
chr1-12001600-12002502,ENSG00000116688
chr1-12005219-12006139,ENSG00000116688
chr1-12018933-12019835,ENSG00000116691
chr1-12029740-12030376,ENSG00000116691
chr1-12031044-12031878,ENSG00000116691
chr1-12063034-12063833,ENSG00000120949
chr1-12068272-12068992,ENSG00000120949
chr1-12069653-12070494,ENSG00000120949
chr1-12079280-12080064,ENSG00000120949
chr1-12087569-12088327,ENSG00000120949
chr1-12088454-12089218,ENSG00000120949
chr1-12095650-12096538,ENSG00000120949
chr1-12102411-12103246,ENSG00000120949
chr1-12106544-12107260,ENSG00000120949
chr1-12109533-12110432,ENSG00000120949
chr1-12113500-12114403,ENSG00000120949
chr1-12118340-12119240,ENSG00000120949
chr1-12120945-12121855,ENSG00000120949
chr1-12124584-12125446,ENSG00000120949
chr1-12125828-12126524,ENSG00000120949
chr1-12132758-12133663,ENSG00000120949
chr1-12140744-12141601,ENSG00000120949
chr1-12143363-12144142,ENSG00000120949
chr1-12166625-12167456,ENSG00000028137
chr1-12173432-12174318,ENSG00000028137
chr1-12177671-12178538,ENSG00000028137
chr1-12178935-12179760,ENSG00000028137
chr1-12180226-12180972,ENSG00000028137
chr1-12183923-12184848,ENSG00000028137
chr1-12194350-12195267,ENSG00000028137
chr1-12196380-12197291,ENSG00000028137
chr1-12201359-12202282,ENSG00000028137
chr1-12203875-12204691,ENSG00000028137
chr1-12208623-12209517,ENSG00000028137
chr1-12229589-12230474,ENSG00000048707
chr1-12265796-12266725,ENSG00000048707
chr1-12271746-12272580,ENSG00000048707
chr1-12276131-12276918,ENSG00000048707
chr1-12314053-12314948,ENSG00000048707
chr1-12344398-12345155,ENSG00000048707
chr1-12345287-12346114,ENSG00000048707
chr1-12376509-12377354,ENSG00000048707
chr1-12384670-12385446,ENSG00000048707
chr1-12385973-12386796,ENSG00000048707
chr1-12408323-12409220,ENSG00000048707
chr1-12415837-12416738,ENSG00000048707
chr1-12433941-12434754,ENSG00000048707
chr1-12435450-12436312,ENSG00000048707
chr1-12438235-12439126,ENSG00000048707
chr1-12441137-12441970,ENSG00000048707
chr1-12448753-12449166,ENSG00000048707
chr1-12449281-12449989,ENSG00000048707
chr1-12453109-12453995,ENSG00000048707
chr1-12472786-12473674,ENSG00000048707
chr1-12475569-12476333,ENSG00000048707
chr1-12478125-12478992,ENSG00000048707
chr1-12480645-12481551,ENSG00000048707
chr1-12496102-12496919,ENSG00000048707
chr1-12510379-12511282,ENSG00000048707
chr1-12594888-12595530,ENSG00000162496
chr1-12595655-12596471,ENSG00000162496
chr1-12601141-12601703,ENSG00000162496
chr1-12601816-12602483,ENSG00000162496
chr1-12604077-12604975,ENSG00000162496
chr1-12615361-12616191,ENSG00000162496
chr1-12617800-12618625,ENSG00000162496
chr1-12619625-12620496,ENSG00000162496
chr1-13699884-13700774,ENSG00000116731
chr1-13702529-13703436,ENSG00000116731
chr1-13705920-13706791,ENSG00000116731
chr1-13713228-13713990,ENSG00000116731
chr1-13714742-13715596,ENSG00000116731
chr1-13723519-13724417,ENSG00000116731
chr1-13725571-13726478,ENSG00000116731
chr1-13730573-13731487,ENSG00000116731
chr1-13732828-13733687,ENSG00000116731
chr1-13748922-13749799,ENSG00000116731
chr1-13753588-13754398,ENSG00000116731
chr1-13754558-13755060,ENSG00000116731
chr1-13758954-13759803,ENSG00000116731
chr1-13762353-13763301,ENSG00000116731
chr1-13764728-13765622,ENSG00000116731
chr1-13768971-13769825,ENSG00000116731
chr1-13781965-13782789,ENSG00000116731
chr1-13790444-13791143,ENSG00000116731
chr1-13808572-13809246,ENSG00000116731
chr1-13809378-13810173,ENSG00000116731
chr1-13811037-13811846,ENSG00000116731
chr1-13813344-13814226,ENSG00000116731
chr1-13960184-13961050,ENSG00000189337
chr1-14660652-14661500,ENSG00000189337
chr1-14731684-14732532,ENSG00000189337
chr1-14739219-14740097,ENSG00000189337
chr1-14755603-14756476,ENSG00000189337
chr1-14761532-14762392,ENSG00000189337
chr1-14782639-14783494,ENSG00000189337
chr1-14783933-14784637,ENSG00000189337
chr1-14915140-14916029,ENSG00000189337
chr1-14923777-14924586,ENSG00000189337
chr1-14968780-14969614,ENSG00000189337
chr1-15016161-15016990,ENSG00000189337
chr1-15027414-15028235,ENSG00000189337
chr1-15037890-15038731,ENSG00000189337
chr1-15046283-15047166,ENSG00000189337
chr1-15065719-15066599,ENSG00000189337
chr1-15075579-15076445,ENSG00000189337
chr1-15080118-15080999,ENSG00000189337
chr1-15083308-15084171,ENSG00000189337
chr1-15090202-15091008,ENSG00000189337
chr1-15100059-15100958,ENSG00000189337
chr1-15106410-15107304,ENSG00000189337
chr1-15112001-15112891,ENSG00000189337
chr1-15245673-15246435,ENSG00000142621
chr1-15246889-15247726,ENSG00000142621
chr1-15248773-15249676,ENSG00000142621
